Year,Race,LiveBirths,BirthRate,FertilityRate
1980,Asian/Pacific Islander,74355,19.9,73.2
1981,Asian/Pacific Islander,84553,20.1,73.7
1982,Asian/Pacific Islander,93193,20.3,74.8
1983,Asian/Pacific Islander,95713,19.5,71.7
1984,Asian/Pacific Islander,98926,18.8,69.2
1985,Asian/Pacific Islander,104606,18.7,68.4
1986,Asian/Pacific Islander,107797,18.0,66.0
1987,Asian/Pacific Islander,116560,18.4,67.1
1988,Asian/Pacific Islander,129035,19.2,70.2
1989,Asian/Pacific Islander,133075,18.7,68.2
1990,Asian/Pacific Islander,141635,19.0,69.6
1991,Asian/Pacific Islander,145372,18.3,67.1
1992,Asian/Pacific Islander,150250,17.9,66.1
1993,Asian/Pacific Islander,152800,17.3,64.3
1994,Asian/Pacific Islander,157632,17.1,63.9
1995,Asian/Pacific Islander,160287,16.7,62.6
1996,Asian/Pacific Islander,165776,16.5,62.3
1997,Asian/Pacific Islander,169769,16.2,61.3
1998,Asian/Pacific Islander,172652,15.9,60.1
1999,Asian/Pacific Islander,180776,15.9,60.9
2000,Asian/Pacific Islander,200543,17.1,65.8
2001,Asian/Pacific Islander,200279,16.1,62.5
2002,Asian/Pacific Islander,210907,16.3,63.3
2003,Asian/Pacific Islander,221203,16.4,64.2
2004,Asian/Pacific Islander,229123,16.4,64.5
2005,Asian/Pacific Islander,231108,15.9,63.0
2006,Asian/Pacific Islander,241045,16.0,63.7
2007,Asian/Pacific Islander,254488,16.4,65.3
2008,Asian/Pacific Islander,253185,15.7,63.3
2009,Asian/Pacific Islander,251089,15.1,61.3
2010,Asian/Pacific Islander,246886,14.5,59.2
2011,Asian/Pacific Islander,253915,14.5,59.9
2012,Asian/Pacific Islander,272802,15.1,62.2
2013,Asian/Pacific Islander,265673,14.3,59.2
1960,American Indian/Alaska Native,21114,,
1961,American Indian/Alaska Native,21464,,
1962,American Indian/Alaska Native,21968,,
1963,American Indian/Alaska Native,22358,,
1964,American Indian/Alaska Native,24382,,
1965,American Indian/Alaska Native,24066,,
1966,American Indian/Alaska Native,23014,,
1967,American Indian/Alaska Native,22665,,
